date,category,forecast,lower_bound,upper_bound,model,mape,accuracy
2016-07-01,Bikes,1070404.68,841147.28,1299662.08,"ARIMA(1, 0, 0)",17.59,82.41
2016-08-01,Bikes,987519.61,715266.19,1259773.03,"ARIMA(1, 0, 0)",17.59,82.41
2016-09-01,Bikes,934430.28,646387.91,1222472.64,"ARIMA(1, 0, 0)",17.59,82.41
2016-07-01,Accessories,779925.0,698676.76,861173.24,"ARIMA(0, 1, 0)",14.56,85.44
2016-08-01,Accessories,779925.0,665022.63,894827.37,"ARIMA(0, 1, 0)",14.56,85.44
2016-09-01,Accessories,779925.0,639198.92,920651.08,"ARIMA(0, 1, 0)",14.56,85.44
2016-07-01,Clothing,364496.0,322159.3,406832.7,"ARIMA(0, 1, 0)",17.52,82.48
2016-08-01,Clothing,364496.0,304622.87,424369.13,"ARIMA(0, 1, 0)",17.52,82.48
2016-09-01,Clothing,364496.0,291166.69,437825.31,"ARIMA(0, 1, 0)",17.52,82.48
